Date,Open,High,Low,Close,Change (Pips)
"Mar 05, 2020 00:00",71.255,71.425,69.947,70.171,-108.4
"Mar 04, 2020 00:00",70.498,71.317,70.299,71.256,+75.8
"Mar 03, 2020 00:00",70.712,71.506,70.29,70.522,-19.0
"Mar 02, 2020 00:00",69.452,71.197,69.421,70.852,+140.0
"Feb 28, 2020 00:00",71.98,72.201,69.374,70.296,-168.4
"Feb 27, 2020 00:00",72.252,72.589,71.978,71.991,-26.1
"Feb 26, 2020 00:00",72.753,73.009,72.219,72.242,-51.1
"Feb 25, 2020 00:00",73.114,73.497,72.521,72.744,-37.0
"Feb 24, 2020 00:00",73.249,73.909,72.998,73.136,-11.3
"Feb 21, 2020 00:00",74.137,74.296,73.425,73.938,-19.9
"Feb 20, 2020 00:00",74.343,74.416,73.787,74.134,-20.9
"Feb 19, 2020 00:00",73.452,74.47,73.421,74.359,+90.7
"Feb 18, 2020 00:00",73.765,73.771,73.186,73.488,-27.7
"Feb 17, 2020 00:00",73.814,73.955,73.696,73.765,-4.9
"Feb 14, 2020 00:00",73.785,73.984,73.607,73.697,-8.8
"Feb 13, 2020 00:00",74.161,74.173,73.647,73.794,-36.7
"Feb 12, 2020 00:00",73.713,74.293,73.681,74.175,+46.2
"Feb 11, 2020 00:00",73.382,74,73.321,73.7,+31.8
"Feb 10, 2020 00:00",73.084,73.672,73.051,73.405,+32.1
"Feb 07, 2020 00:00",74.017,74.097,73.046,73.292,-72.5
"Feb 06, 2020 00:00",74.089,74.392,73.979,74.049,-4.0
"Feb 05, 2020 00:00",73.8,74.344,73.54,74.103,+30.3
"Feb 04, 2020 00:00",72.72,73.843,72.498,73.791,+107.1
"Feb 03, 2020 00:00",72.434,72.921,72.409,72.726,+29.2
"Jan 31, 2020 00:00",73.229,73.439,72.438,72.449,-78.0
"Jan 30, 2020 00:00",73.626,73.648,72.804,73.212,-41.4
"Jan 29, 2020 00:00",73.773,74.007,73.442,73.622,-15.1
"Jan 28, 2020 00:00",73.618,73.833,73.294,73.814,+19.6
"Jan 27, 2020 00:00",74.171,74.328,73.542,73.624,-54.7
"Jan 24, 2020 00:00",74.968,75.176,74.426,74.594,-37.4
"Jan 23, 2020 00:00",75.173,75.493,74.649,74.986,-18.7
"Jan 22, 2020 00:00",75.197,75.411,75.031,75.172,-2.5
"Jan 21, 2020 00:00",75.718,75.815,75.109,75.208,-51.0
"Jan 20, 2020 00:00",75.64,75.897,75.528,75.721,+8.1
"Jan 17, 2020 00:00",75.977,76.168,75.686,75.699,-27.8
"Jan 16, 2020 00:00",75.851,76.245,75.78,75.974,+12.3
"Jan 15, 2020 00:00",75.902,76.037,75.579,75.905,+0.3
"Jan 14, 2020 00:00",75.893,76.103,75.737,75.942,+4.9
"Jan 13, 2020 00:00",75.534,76.01,75.506,75.895,+36.1
"Jan 10, 2020 00:00",75.11,75.698,75.014,75.544,+43.4
"Jan 09, 2020 00:00",74.845,75.198,74.839,75.111,+26.6
"Jan 08, 2020 00:00",74.499,75.068,73.76,74.931,+43.2
"Jan 07, 2020 00:00",75.183,75.26,74.343,74.498,-68.5
"Jan 06, 2020 00:00",74.85,75.271,74.734,75.213,+36.3
"Jan 03, 2020 00:00",75.912,75.912,74.853,75.08,-83.2
"Jan 02, 2020 00:00",76.246,76.319,75.67,75.877,-36.9
